I/I'd/I'll/I'm/I'ma/I've/I'on,1493,
the,871,
bitch(es)/bih,697,,
my(self),695,,
on,686,,
a,614,,
that('s),531,,
nigga(s),496,,
in,475,,
it('s),474,,
with/wit,459,,
fuck(ed/in'/ing/s),447,,
yeah/yea,436,,
up,420,,
me,373,,
got,362,,
what('s),337,,
all,314,,
and,293,,
like,293,,
ooh,288,,
ho(es),287,,
these,267,,
you('d/'ll/'re),264,,
she,231,,
of,218,,
to,216,,
this,200,,
shit(s),199,,
fo/for,189,,
out,185,,
they('ll/'re),185,,
some,157,,
go,146,,
just,142,,
get(tin'/ting),138,,
we,138,,
ain't,134,,
your,133,,
money,127,,
not,126,,
lil,121,,
carti('s)/cartier,117,,
bank(roll/rolls),113,,
uh,111,,
don't,110,,
shawty/shorty,106,,
her(self),102,,
them,102,,
ay/aye/ayy,101,,
diamond(s),98,,
want(ed)/wanna,98,,
cash(ing),97,,
go(in'/ing)/gon',96,,
pump,96,,
com(e/in'/ing/s),95,,
pok(e/ing),95,,
fake,94,,
no,94,,
let('s),90,,
off,89,,
lean,88,,
talk(ed/in'/ing),88,,
lov(e/in'),87,,
do(in'/ing),83,,
walk(ed/in'/ing),83,,
guap(anese),80,,
pop(ped/pin'/ping),80,,
pull,80,,
slatt,79,,
can't/cannot,78,,
now,77,,
knew/know,76,,
right,74,,
at,73,,
run(nin'/ning),73,,
three,73,,
yuh,73,,
boy(s),69,,
bad(dest),68,,
hit(man/ters/tin'/ting),66,,
big(ger),65,,
look(ed/in'/ing),65,,
keep(in'),64,,
top(ped/ping),64,,
one,63,,
came,61,,
new,59,,
real(ly/est),58,,
bag(s/in'),57,,
be,57,,
chopper(s)/choppa(s),57,,
might,55,,
he/he'll/he's,52,,
chain(s),51,,
em,51,,
man(s),51,,
rock(in'/ing),51,,
arm(s),49,,
time,49,,
feel(in'/ing/ings),47,,
ice(d/y),46,,
is,46,,
check,45,,
count(in'/ing),45,,
see(n/in'/ing),45,,
who('s),45,,
boss,44,,
dick,44,,
xan(ny/nie/nies/s),44,,
lot,42,,
other,42,,
pour(ed/ing),42,,
say(in'/ing/s),42,,
try('in/ing/'na/na),42,,
even,41,,
mileage,41,,
then,41,,
long(er),40,,
block(s),39,,
glock(y),39,,
ass,38,,
bring,38,,
fetti,38,,
if,38,,
mov(e/in'/ing),38,,
need,38,,
shoot(er/ers/in'/ing),38,,
took,38,,
young,38,,
back,37,,
show(in'/s),37,,
so,37,,
yah,37,,
break(in'/ing),36,,
notice,36,,
oh,36,,
suck(in'/ing),36,,
wet(ter),36,,
woke,36,,
but,35,,
okay,35,,
yo,35,,
call(in'/ing/ed),34,,
watch(in'),34,,
bean(s),33,,
broke,33,,
head,33,,
mind,33,,
pew,33,,
tak(e/in'/ing),33,,
tell(ing),33,,
woah,33,,
give,32,,
rob(in'/ing/bed),32,,
thot(s/tie/ties/y),32,,
can,31,,
hundred(s)/hunnid(s),31,,
lame,31,,
neck,31,,
squad,31,,
car(s),30,,
hold(in'/ing),30,,
home,30,,
pussy,30,,
beef,29,,
beep,29,,
build(in'/ing),29,,
coupe(s),29,,
hop(pin'),29,,
left,29,,
fire(d),28,,
miss(ed),28,,
stop(pin'),28,,
wait(in'/ing),28,,
make,27,,
put,27,,
vlone,27,,
about,26,,
face,26,,
gotta,26,,
kick(in'/ing/s),26,,
leg(s),26,,
ready,26,,
trap(pin'/ping),26,,
won't,26,,
boi,25,,
cause,25,,
damn,25,,
fell,25,,
huh,25,,
too,25,,
fast(er),24,,
gas(sed),24,,
old,24,,
pipe(d),24,,
round(s),24,,
tat(s/ted),24,,
thug(s),24,,
ball(s/er/ies/in'),23,,
been,23,,
dad(dy),23,,
have,23,,
rocks,23,,
smok(e/ed/in'/ing),23,,
spen(d/t/ding),23,,
told,23,,
ya,23,,
counter,22,,
down,22,,
made,22,,
or,22,,
water,22,,
white,22,,
band(s),21,,
bout,21,,
jitt,21,,
molly,21,,
nine(s),21,,
only,21,,
sell(in'/ing),21,,
team,21,,
thick(er),21,,
two,21,,
are,20,,
drop,20,,
from,20,,
had,20,,
here,20,,
jean(s),20,,
lit,20,,
nobody,20,,
rid(e/in'/ing),20,,
sound(in'/ing),20,,
when,20,,
bentley,19,,
chest,19,,
cup(s),19,,
hard(er),19,,
how,19,,
mad,19,,
pole,19,,
rather,19,,
roll(in'/ing/s),19,,
smash(in'/ing),19,,
splur,19,,
spot,19,,
still,19,,
why,19,,
care,18,,
drum(ming),18,,
geek(ed),18,,
gone,18,,
kush,18,,
mo/more,18,,
was,18,,
way,18,,
bit(e/in'/ing),17,,
foreign,17,,
hear(d/ing),17,,
mothafuck(a/as/ing/in'),17,,
pack(s),17,,
rich,17,,
think,17,,
wrist(s),17,,
blunt,16,,
cool('in/ing),16,,
dirty,16,,
psst,16,,
swag,16,,
switch(in'/ing),16,,
where,16,,
baby,15,,
beam,15,,
bee,15,,
blow(in'/ing),15,,
bought,15,,
his,15,,
kill(ers/ed/in'/ing),15,,
miley,15,,
mob,15,,
much,15,,
tuck(ed),15,,
whip,15,,
clip,14,,
cop(s),14,,
flex(ed/in'),14,,
pass,14,,
rockstar,14,,
around,13,,
blood(s/y),13,,
coma,13,,
different,13,,
noth(in'/ing),13,,
opp(s),13,,
phone(s),13,,
pimp(in'),13,,
pint(s),13,,
play(s),13,,
sip(pin'/ping),13,,
slime(s),13,,
stay(ing),13,,
thing(s),13,,
tool(y/ie),13,,
bool(in'),12,,
catch(in'),12,,
fat,12,,
flow,12,,
gave,12,,
god,12,,
life,12,,
said,12,,
sock,12,,
than,12,,
through,12,,
touch,12,,
buh,11,,
cyrus,11,,
designer,11,,
drip(ped/pin'),11,,
girl(s),11,,
leave,11,,
lyin(g),11,,
one-hundred,11,,
serv(e/in'/ing),11,,
star(s),11,,
vvs,11,,
whole,11,,
an,10,,
black,10,,
bust,10,,
buy(ing),10,,
cap(pin'),10,,
didn't,10,,
groupie(s),10,,
gucci,10,,
hid(e/ing),10,,
homie(s),10,,
mine(s),10,,
mix(ed),10,,
pill(s),10,,
playboi,10,,
south,10,,
though,10,,
throw(in'),10,,
work(in'/ing),10,,
atlanta,9,,
bars,9,,
bleed(in'),9,,
bod(y/ies),9,,
brick(s),9,,
broad(s),9,,
clique,9,,
flock,9,,
gang,9,,
high,9,,
lean(ed/ing),9,,
low,9,,
mattress,9,,
number,9,,
over,9,,
piss(ed),9,,
please,9,,
self,9,,
shar(e/in'),9,,
shin(e/ing),9,,
swoop,9,,
thirty-five,9,,
woo,9,,
air,8,,
c('s),8,,
camera(s),8,,
choos(e/in'/ing),8,,
everybody,8,,
fiend(s/ing),8,,
forg(et/ot),8,,
gun(s),8,,
hella,8,,
hood,8,,
lane(s),8,,
meet/met,8,,
nervous,8,,
pockets,8,,
sauce,8,,
scene(s),8,,
sit(ting),8,,
split,8,,
stick(s),8,,
tall,8,,
waist,8,,
zips,8,,
bang(in'),7,,
bread,7,,
brothers/bro(s),7,,
city,7,,
cloth(es/ing),7,,
clout(y),7,,
demons,7,,
drink(in'/ing),7,,
fall(in'),7,,
fed(s),7,,
fendi,7,,
fool(ie/ish),7,,
four,7,,
fourty,7,,
hand(s),7,,
hat(e/in'/ing),7,,
heavy,7,,
hey(o),7,,
him,7,,
lick(s),7,,
milly,7,,
ming,7,,
mornin(g)/morn',7,,
pay(in'),7,,
red,7,,
reggie,7,,
rick(y),7,,
since,7,,
sing,7,,
slow(ed/ly),7,,
swear,7,,
ten(s),7,,
there,7,,
together,7,,
tongue,7,,
town,7,,
triple,7,,
turn(ed/in'),7,,
two-door,7,,
uzi,7,,
yams,7,,
yao,7,,
york,7,,
add,6,,
another,6,,
b('s),6,,
better,6,,
breasts,6,,
by,6,,
copp(ed/in'/ing),6,,
crack,6,,
cuz,6,,
day,6,,
dope,6,,
drank,6,,
fame,6,,
first,6,,
flacko,6,,
follies,6,,
front(in'),6,,
full(y),6,,
g('s),6,,
gonna,6,,
hot,6,,
hurt,6,,
jewelry,6,,
